epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0007939542802204233,0.02122077,0.0012506520581602864,0.028293105
1,0.000762744402376997,0.020951942,0.004378216016673998,0.046358272
2,0.0007420752435543049,0.020395074,0.0012635100063643498,0.026136009
3,0.0007376176575586345,0.020302359,0.001958908984652282,0.02844982
4,0.000715318984191723,0.020231398,0.0013843807991427734,0.026108747
5,0.0006933764904312699,0.019891866,0.0023404253700496395,0.03163945
6,0.0006874310616231332,0.019653704,0.0007210791641449785,0.018126903
7,0.0006684023431200379,0.019269863,0.0008501623427642361,0.024605548
8,0.0006381897499847198,0.01894793,0.00044477046553798884,0.0155731235
9,0.0006446927562745128,0.018929552,0.000984444305434173,0.023799714
10,0.0006245558446956763,0.018610697,0.0006513666281300603,0.018704168
11,0.0006088068819231059,0.01840958,0.003924445217225782,0.044509437
12,0.0006009709322532834,0.018462025,0.00044051045510340784,0.015557472
13,0.0005870225436214343,0.017969385,0.0003952845849423415,0.0153228445
14,0.0005611268580883153,0.017463071,0.0004412947858583186,0.0152039295
