epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.08985892130355211,0.20534086,0.02574699416346577,0.123111755
1,0.020158081664379074,0.10612117,0.02522304301031189,0.12477325
2,0.01427066981038913,0.08845932,0.018222832881099896,0.107821174
3,0.01129314316999619,0.078451045,0.014062867509558999,0.08782206
4,0.010004049740762057,0.073005795,0.03716500111790771,0.13998704
5,0.008857383010488655,0.06896938,0.007011221686227253,0.06140836
6,0.007606010398616873,0.06394791,0.007201533321666445,0.065793104
7,0.006820492311706554,0.060313772,0.011160361253669019,0.08059963
8,0.006269351438688087,0.057520777,0.012049621133557361,0.083291404
9,0.005690617300216726,0.05498756,0.009826855507929763,0.07228868
10,0.005094690329937528,0.052337945,0.010794652247780147,0.075710215
11,0.004656699183758073,0.050086137,0.014687494230954709,0.094239086
12,0.0043261400790282735,0.04839215,0.004684085067485383,0.05235444
13,0.004175115029270318,0.04762786,0.012492056789992692,0.078995444
14,0.0038157416158264854,0.04554573,0.014101493621084487,0.08528162
